NAME,25th,75th,Total
Harvey Mudd College,1490,1560,2000
Franklin W. Olin College of Engineering,1460,1550,2000
Princeton University,1440,1570,2000
Harvard University,1460,1580,2000
Columbia University,1450,1560,2000
Massachusetts Institute of Technology,1500,1570,2000
Yale University,1460,1570,2000
Williams College,1410,1550,2000
University of Chicago,1470,1570,2000
Stanford University,1420,1570,2000
University of Pennsylvania,1420,1550,2000
Webb Institute,1400,1550,2000
California Institute of Technology,1530,1580,2000
Johns Hopkins University,1450,1560,2000
Northwestern University,1430,1550,2000
Pomona College,1400,1540,2000
Duke University,1450,1570,2000
Dartmouth College,1420,1560,2000
Swarthmore College,1380,1550,2000
Vanderbilt University,1450,1560,2000
Brown University,1420,1550,2000
Washington University in St. Louis,1470,1570,2000
Rice University,1450,1560,2000
Cornell University,1390,1540,2000
University of Notre Dame,1400,1550,2000
University of California--Los Angeles,1290,1520,2000
Emory University,1350,1520,2000
Grinnell College,1370,1530,2000
University of California--Berkeley,1320,1530,2000
Haverford College,1370,1530,2000
Georgetown University,1370,1530,2000
University of Southern California,1350,1530,2000
University of Michigan--Ann Arbor,1330,1510,2000
University of Virginia,1330,1500,2000
Carleton College,1350,1530,2000
Vassar College,1370,1510,2000
University of North Carolina--Chapel Hill,1270,1480,2000
Tufts University,1380,1530,2000
New York University,1310,1510,2000
University of Florida,1280,1440,2000
University of California--Santa Barbara,1230,1460,2000
Amherst College,1330,1530,2000
Hamilton College,1350,1510,2000
Colby College,1350,1510,2000
Jewish Theological Seminary of America,1340,1520,2000
University of Rochester,1320,1500,2000
Georgia Institute of Technology,1390,1540,2000
Boston College,1320,1490,2000
University of California--San Diego,1260,1470,2000
University of California--Irvine,1190,1410,2000
Wellesley College,1330,1520,2000
Claremont McKenna College,1350,1500,2000
William & Mary,1310,1490,2000
University of California--Davis,1160,1400,2000
Washington and Lee University,1348,1490,2000
Tulane University,1350,1490,2000
Middlebury College,1330,1500,2000
Colgate University,1320,1510,2000
Barnard College,1330,1500,2000
Reed College,1310,1520,2000
Case Western Reserve University,1350,1520,2000
Boston University,1330,1500,2000
Brandeis University,1280,1500,2000
University of Wisconsin--Madison,1280,1450,2000
University of Texas at Austin,1230,1480,2000
University of Illinois--Urbana-Champaign,1200,1460,2000
University of Georgia,1240,1410,2000
Macalester College,1310,1500,2000
Northeastern University,1360,1540,2000
Lehigh University,1270,1450,2000
University of Miami,1250,1430,2000
Pepperdine University,1220,1420,2000
Cooper Union for the Advancement of Science and Art,1283,1510,2000
Mount Holyoke College,1290,1500,2000
Rensselaer Polytechnic Institute,1330,1500,2000
Villanova University,1300,1470,2000
Santa Clara University,1270,1440,2000
Purdue University--West Lafayette,1180,1410,2000
Scripps College,1300,1480,2000
University of Maryland--College Park,1290,1470,2000
University of Pittsburgh--Pittsburgh Campus,1270,1430,2000
University of Washington,1220,1460,2000
Florida State University,1200,1350,2000
Syracuse University,1180,1370,2000
Oberlin College,1280,1490,2000
Trinity College,1300,1460,2000
University of Connecticut,1210,1420,2000
Rutgers University--New Brunswick,1190,1410,2000
Pennsylvania State University--University Park,990,1260,2000
University of Richmond,1290,1460,2000
Kenyon College,1280,1470,2000
Rose-Hulman Institute of Technology,1270,1480,2000
University of Minnesota--Twin Cities,1270,1480,2000
George Washington University,1280,1460,2000
Southern Methodist University,1280,1460,2000
Fordham University,1250,1430,2000
Loyola Marymount University,1210,1390,2000
University of Massachusetts--Amherst,1200,1390,2000
Texas A&M University,1170,1380,2000
Hillsdale College,1275,1465,2000
Davidson College,1290,1450,2000
Occidental College,1270,1450,2000
Connecticut College,1290,1430,2000
Babson College,1270,1450,2000
Clemson University,1220,1400,2000
Virginia Tech,1180,1390,2000
American University,1220,1380,2000
Baylor University,1190,1370,2000
Yeshiva University,1140,1400,2000
Indiana University--Bloomington,1150,1360,2000
Stevens Institute of Technology,1330,1480,2000
North Carolina State University,1250,1390,2000
Brigham Young University--Provo,1190,1420,2000
Gonzaga University,1190,1350,2000
University of Denver,1170,1370,2000
Texas Christian University,1150,1343,2000
Howard University,1140,1285,2000
Michigan State University,1110,1310,2000
Trinity University,1260,1430,2000
Lafayette College,1250,1435,2000
Whitman College,1230,1450,2000
Bucknell University,1250,1420,2000
California Polytechnic State University--San Luis Obispo,1240,1430,2000
United States Coast Guard Academy,1245,1420,2000
Binghamton University--SUNY,1310,1440,2000
Colorado School of Mines,1290,1450,2000
Stony Brook University--SUNY,1230,1420,2000
University of San Diego,1190,1360,2000
Elon University,1150,1330,2000
Marquette University,1150,1320,2000
University of Iowa,1120,1330,2000
University of California--Riverside,1110,1330,2000
University at Buffalo--SUNY,860,1040,2000
Lawrence University,1210,1450,2000
Sarah Lawrence College,1240,1420,2000
St. John's College (MD),1200,1460,2000
Rhodes College,1240,1410,2000
Bentley University,1240,1410,2000
United States Air Force Academy,1230,1410,2000
Furman University,1230,1410,2000
New College of Florida,1220,1420,2000
University of California--Santa Cruz,1190,1400,2000
University of Delaware,1160,1350,2000
University of Utah,1130,1350,2000
Auburn University,1150,1310,2000
University of Arizona,1070,1310,2000
University of California--Merced,1020,1190,2000
Wheaton College (IL),1210,1420,2000
Skidmore College,1223,1400,2000
Thomas Aquinas College,1220,1400,2000
St. John's College (NM),1200,1420,2000
Rhode Island School of Design,1180,1440,2000
Centre College,1190,1420,2000
Miami University--Oxford,1200,1380,2000
Saint Louis University,1180,1370,2000
University of Colorado Boulder,1150,1360,2000
University of South Florida,1170,1330,2000
Arizona State University--Tempe,1130,1360,2000
University of San Francisco,1130,1330,2000
University of Oregon,1080,1290,2000
CUNY--Baruch College,1220,1390,2000
New Mexico Institute of Mining and Technology,1210,1400,2000
St. Olaf College,1190,1410,2000
Savannah State University,1220,1380,2000
Denison University,1210,1380,2000
Emerson College,1200,1390,2000
